DATE,TIME (UTC),Aircraft ID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE
13-Jan-12,0220,N6275G,1,C150,2500,PHX,Green,NO,Phoenix,Arizona
13-Jan-12,0300,SWA847,1,B737,5000,VNY,Green,NO,Van Nuys,California
13-Jan-12,0318,AMF1943,1,SW4,6000,ONT,Red,NO,Ontario,California
13-Jan-12,0352,N620JH,1,GLF4,7000,SLC,Green,NO,Salt Lake City,Utah
13-Jan-12,0400,SWA1129,1,B737,3500,SAN,Green,NO,San Diego,California
13-Jan-12,0403,N168CB,1,C172,6500,SLC,Green,NO,Salt Lake City,Utah
13-Jan-12,0427,PDT4127,1,DH8C,3000,ROA,Green,NO,Roanoke,Virginia
13-Jan-12,0603,SWA1931,1,B737,14000,PHX,Green,NO,Phoenix,Arizona
13-Jan-12,0607,SWA3254,1,B737,11000,FMG,Green,NO,Reno,Nevada
14-Jan-12,0002,N172WG,1,C172,3000,SAT,Green,NO,San Antonio,Texas
14-Jan-12,0045,KAP21,1,C402,3700,TJMZ,Green,NO,Mayaguez,Puerto Rico
14-Jan-12,0118,UAL115,1,B752,11000,ALB,Green,NO,Albany,New York
14-Jan-12,0120,AAL2194,1,B738,11000,DFW,Green,NO,Dallas-Fort Worth,Texas
14-Jan-12,0123,EGF2730,1,E135,11000,DFW,Green,NO,Dallas-Fort Worth,Texas
14-Jan-12,0318,KERN3,1,UNKN,1000,BFL,Green,NO,Bakersfield,California
14-Jan-12,0324,JBU675,1,A320,2700,LAX,Green,NO,Los Angeles,California
14-Jan-12,0625,AWE984,1,A320,3000,MSP,Green,NO,Minneapolis,Minnesota
15-Jan-12,0020,AAL1493,1,MD82,10000,DFW,Green,NO,Dallas-Fort Worth,Texas
15-Jan-12,0226,ASA650,1,B737,5000,PHX,Green,NO,Phoenix,Arizona
15-Jan-12,0229,AWI4097,1,CRJ2,800,LGA,Green,NO,New York,New York
15-Jan-12,0238,DAL73,1,MD88,10000,LZU,Green,NO,Lawrenceville,Georgia
15-Jan-12,0257,TARA6,1,UNKN,2800,LAS,Green,NO,Las Vegas,Nevada
15-Jan-12,0332,EGF3779,1,CRJ7,8500,MSY,Green,NO,New Orleans,Louisiana
15-Jan-12,0355,ASQ4135,1,E145,5000,BNA,Green,NO,Nashville,Tennessee
15-Jan-12,0457,AAL1176,1,B737,600,BWI,Green,NO,Baltimore,Maryland
15-Jan-12,0545,UAL1611,1,B738,4000,IAH,Green,NO,Houston,Texas
15-Jan-12,1430,SKW6318,1,E120,2400,LAX,Green,NO,Los Angeles,California
16-Jan-12,0153,N5502T,1,BE40,2000,SNA,Green,NO,Santa Ana,California
16-Jan-12,0208,N739YZ,1,C172,1700,LGB,Green,NO,Long Beach,California
16-Jan-12,0222,FSP217,1,C206,4500,OAK,Green,NO,Oakland,California
16-Jan-12,0243,SWA1622,1,B737,10000,SAN,Green,NO,San Diego,California
16-Jan-12,0255,DAL1752,1,B738,7500,HEF,Green,NO,Manassas,Virginia
17-Jan-12,0039,AMF6911,1,B190,2500,TJSJ,Green,NO,San Juan,Puerto Rico
17-Jan-12,0059,SWA3293,1,B737,5000,LOT,Green,NO,Chicago/Romeoville,Illinois
17-Jan-12,0114,N811GW,1,C172,8000,PVU,Green,NO,Provo,Utah
17-Jan-12,0220,EGF4794,1,AT72,10000,TYR,Green,NO,Tyler,Texas
17-Jan-12,0408,N113PA,1,PA28,2500,PHX,Green,NO,Phoenix,Arizona
17-Jan-12,0429,AAL349,1,B738,10000,RIV,Green,NO,Riverside,California
17-Jan-12,0530,SKW396U,1,CRJ2,3000,MRY,Green,NO,Monterey,California
17-Jan-12,2341,AAL825,1,B738,800,MIA,Green,NO,Miami,Florida
18-Jan-12,0038,N917VZ,1,GLF4,10000,DCA,Green,NO,Washington,District of Columbia
18-Jan-12,0254,AMF1935,1,SW4,1600,SAN,Green,NO,San Diego,California
18-Jan-12,0331,SWA1777,1,B733,8000,LAS,Green,NO,Las Vegas,Nevada
18-Jan-12,0504,ACA558,1,E190,7000,SMO,Green,NO,Santa Monica,California
18-Jan-12,0605,AAL657,1,MD82,10000,ABQ,Green,NO,Albuquerque,New Mexico
18-Jan-12,2010,VVAD321,1,UNKN,1000,NTU,Green,NO,Virginia Beach,Virginia
18-Jan-12,2356,CTL21,1,AC50,2100,CGF,Green,NO,Cleveland,Ohio
19-Jan-12,0042,N213TV,1,B206,6000,ABQ,Green,NO,Albuquerque,New Mexico
19-Jan-12,0150,DAL2055,1,B763,3000,LAX,Green,NO,Los Angeles,California
19-Jan-12,0307,N900SK,1,H25B,9000,DFW,Green,NO,Dallas-Fort Worth,Texas
19-Jan-12,0652,SkW6412,1,E120,8000,SFO,Green,NO,San Francisco,California
19-Jan-12,0722,AWE496,1,A319,12000,DEN,Green,NO,Denver,Colorado
19-Jan-12,2305,ASQ5325,1,CRJ9,2900,ATL,Red,NO,Atlanta,Georgia
20-Jan-12,0307,FLG3504,1,CRJ9,4800,AUS,Green,NO,Austin,Texas
20-Jan-12,0333,SWA1777,1,B737,10000,LAS,Green,NO,Las Vegas,Nevada
20-Jan-12,0453,UPS1057,1,A306,FL300,ORH,Green,NO,Worcester,Massachusetts
20-Jan-12,0523,SKW2957,1,CRJ2,5000,PSP,Green,NO,Palm Springs,California
20-Jan-12,1015,ASA899,1,B738,500,HNL,Green,NO,Honolulu,Hawaii
21-Jan-12,0110,DAL9819,1,MD88,FL300,CRG,Green,NO,Jacksonville,Florida
21-Jan-12,0135,N306PC,1,PC12,6000,PWM,Green,NO,Portland,Maine
21-Jan-12,0150,N269RB,1,DA40,2500,FLL,Green,NO,Fort Lauderdale,Florida
21-Jan-12,0156,TRS1053,1,B712,5000,MCO,Green,NO,Orlando,Florida
21-Jan-12,0236,JBU399,1,A320,9000,MCO,White,NO,Orlando,Florida
21-Jan-12,0253,SWA2358,1,B733,4000,AUS,Green,NO,Austin,Texas
21-Jan-12,0304,UAL934,1,UNKN,2500,LAX,Green,NO,Los Angeles,California
21-Jan-12,0351,N75RR,1,C172,2000,BCT,Red and White,NO,Boca Raton,Florida
21-Jan-12,0515,UAL584,1,B763,3000,LAX,Green,NO,Los Angeles,California
21-Jan-12,0809,N417C,1,C525,7000,LAS,Green,NO,Las Vegas,Nevada
21-Jan-12,2359,JIA563,1,CRJ2,8000,BTR,Green,NO,Baton Rouge,Louisiana
22-Jan-12,0049,VANDY54,1,BE40,2000,GGG,Green,NO,Longview,Texas
22-Jan-12,0304,UAL1028,1,B737,16500,LAX,Green,NO,Los Angeles,California
22-Jan-12,2300,DAL1193,1,MD88,4500,PIT,Green,NO,Pittsburgh,Pennsylvania
23-Jan-12,0000,JBU1718,1,E190,4000,MCO,Green,NO,Orlando,Florida
23-Jan-12,0000,SOONR16,1,K35R,4000,TIK,Green,NO,Oklahoma City,Oklahoma
23-Jan-12,0150,SWA689,1,B737,1000,ABQ,Green,NO,Albuquerque,New Mexico
23-Jan-12,0202,SHADO22,1,E6,4000,TIK,Green,NO,Oklahoma City,Oklahoma
23-Jan-12,0202,SNTRY62,1,E3TF,3000,TIK,Green,NO,Oklahoma City,Oklahoma
23-Jan-12,0355,SWA689,1,B737,7500,ABQ,Green,NO,Albuquerque,New Mexico
23-Jan-12,0359,C6526,1,H60,2000,VQQ,Green,NO,Jacksonville,Florida
23-Jan-12,0509,ASQ5834,1,E145,16000,DEN,Green,NO,Denver,Colorado
23-Jan-12,0525,N256AH,1,LJ40,3000,BUR,Green,NO,Burbank,California
23-Jan-12,0541,NKS765,1,A319,1200,SJU,Green,NO,San Juan,Puerto Rico
24-Jan-12,0039,UAL400,1,A319,12000,OKV,White,NO,Winchester ,Virginia
24-Jan-12,0200,AWE668,1,A319,3500,PHX,Green,NO,Phoenix,Arizona
24-Jan-12,0202,VVLL78,1,P3,11000,GNV,Green,NO,Gainesville,Florida
25-Jan-12,0045,ASQ5737,1,CRJ2,3000,AML,Green,NO,Herndon,Virginia
25-Jan-12,0213,VV7G830,1,T34P,1600,CRP,Green,NO,Corpus Christi,Texas
25-Jan-12,0215,AWI3820,1,CRJ2,9000,AML,Green,NO,Herndon,Virginia
25-Jan-12,0258,AWE1978,1,B734,2500,CLT,Green,NO,Charlotte,North Carolina
25-Jan-12,0519,SWA1790,1,B737,11000,HND,Green,NO,Las Vegas,Nevada
26-Jan-12,0000,TRS192,1,B737,10000,BRV,Red,NO,Brooke,Virginia
26-Jan-12,0014,UCA4766,1,DHC8,2600,AVP,White,NO,"Scranton, PA",Pennsylvania
26-Jan-12,0029,ASQ5172,1,CRJ2,2000,MCO,Green,NO,Orlando,Florida
26-Jan-12,0040,TRS959,1,B712,5000,FLL,Green,NO,Fort Lauderdale,Florida
26-Jan-12,0202,AAL694,1,MD83,3000,GKY,Green,NO,Arlington,Texas
26-Jan-12,0206,EGF3211,1,E135,3000,GKY,Green,NO,Arlington,Texas
26-Jan-12,0231,N634SB,1,C172,4000,CRG,Green,NO,Jacksonville,Florida
26-Jan-12,0417,DAL1142,1,A320,7000,SLC,Green,NO,Salt Lake City,Utah
26-Jan-12,0417,DAL2270,1,B738,7000,SLC,Green,NO,Salt Lake City,Utah
26-Jan-12,0417,NKS293,1,A320,8000,LAS,Green,NO,Las Vegas,Nevada
26-Jan-12,0448,POLICE3,1,H500,1000,SAN,Red,NO,San Francisco,California
26-Jan-12,0515,SWA2377,1,B733,17500,VTU,Green,NO,Oxnard,California
26-Jan-12,0620,SWA214,1,B733,7000,RNO,Green,NO,Reno,Nevada
26-Jan-12,1315,UCA4766,1,DH8,250,AVP,White,NO,"Scranton, PA",Pennsylvania
27-Jan-12,0040,ASQ5838,1,E45X,13000,JYR,Green,NO,York,Nebraska
27-Jan-12,0059,ASQ4324,1,E45X,3000,TEB,Blue,NO,Teterboro,New Jersey
27-Jan-12,0135,AAL1299,1,B752,12000,DHP,Green,NO,Miami,Florida
27-Jan-12,0135,DAL878,1,B752,Fl270,PIE,Green,NO,St. Petersburg-Clearwater,Florida
27-Jan-12,0223,AAL849,1,MD83,4000,GKY,Green,NO,Arlington,Texas
27-Jan-12,0226,MRA666,1,C208,4000,GKY,Green,NO,Arlington,Texas
27-Jan-12,0235,DAL870,1,B752,FL270,PIE,Green,NO,St. Petersburg-Clearwater,Florida
27-Jan-12,0245,SWA56,1,B737,3000,DAL,Green,NO,Dallas,Texas
27-Jan-12,0330,SWA1232,1,B737,17000,PXR,Green,NO,Phoenix,Arizona
27-Jan-12,0335,N25904,1,C152,1800,CDL,Green,NO,Candle,Alaska
27-Jan-12,0338,N977PA,1,UNKN,4300,PHX,Green,NO,Phoenix,Arizona
27-Jan-12,0421,LBQ860,1,TBM7,2000,ZPH,Green,*NO,Zephyrhills,Florida
27-Jan-12,0553,C6566,1,UNKN,1000,Punta Salinas,Green,NO,Punta Salinas,Puerto Rico
28-Jan-12,0008,AAL1384,1,B752,2000,JFK,Green,NO,New York,New York
28-Jan-12,0008,N787PE,1,PA24,3500,FL78,Green,NO,Brandon,Florida
28-Jan-12,0020,N446ER,1,C172,4000,SAV,Green,NO,Savannah,Georgia
28-Jan-12,0138,SKW4592,1,CRJ2,7000,SLC,Green,NO,Salt Lake City,Utah
28-Jan-12,0340,ASQ5900,1,E45X,9000,BNA,Green,NO,Nashville,Tennessee
28-Jan-12,0355,DAL1252,1,A319,2000,CVG,Green,NO,Covington,Kentucky
28-Jan-12,0400,SKW3488,1,CRJ7,7000,PDX,Green,NO,Portland, Oregon
28-Jan-12,0545,N977PA \ ,1,B737,13000,PHX,Green,NO,Phoenix,Arizona
28-Jan-12,0635,ASA896,1,B738,2500,SJC,Green,NO,San Jose ,California
28-Jan-12,2344,N4881N,1,C182,3500,SEG,Green,NO,Selingsgrove,Pennsylvania
28-Jan-12,2345,SOO9761,1,B747,12500,PSM,Green/yellow,NO,Portsmouth,New Hampshire
29-Jan-12,0008,AAL1384,1,B752,2000,JFK,UNKN,NO,New York,New York
29-Jan-12,0040,N426PE,1,CL60,10000,MKE,Green,NO,Milwaukee,Wisconsin
29-Jan-12,0044,EGF2859,1,E135,5000,T31,Green,NO,Mckinney,Texas
29-Jan-12,0129,UAL1121,1,B735,5000,CLE,Green,NO,Cleveland,Ohio
29-Jan-12,0138,TRS856,1,B712,2700,MCO,Green,NO,Orlando,Florida
29-Jan-12,0145,ASQ4160,1,E145,10500,IAH,Green,*NO,Houston,Texas
29-Jan-12,0155,ASQ4607,1,E145,9000,IAH,Green,NO,Houston,Texas
29-Jan-12,0159,UAL1594,1,B738,9000,IAH,Green,NO,Houston,Texas
29-Jan-12,0208,UAL1662,1,B738,9000,IAH,Green,NO,Houston,Texas
29-Jan-12,0209,SWA311,1,B737,11000,SMF,Green,NO,Sacramento,California
29-Jan-12,0310,SWA497,1,B733,4500,LAX,Green,NO,Los Angeles,California
29-Jan-12,0350,SWA144,1,B737,3000,FLL,Green,NO,Fort Lauderdale,Florida
29-Jan-12,0357,HAWK229,1,HAWK,7000,T20,Green,NO,Gonzales,Texas
29-Jan-12,0708,N8280P,1,PA34,2000,SEA,Green,NO,Seattle,Washington
29-Jan-12,0800,N17544,1,BE36,6500,IAH,Green,NO,Houston,Texas
29-Jan-12,1622,SWA455,1,B737,15000,PHX,Green,NO,Phoenix,Arizona
29-Jan-12,UNKN,SWA108,1,B737,3500,WRI,Green,NO,Wrightstown,New Jersey
30-Jan-12,0015,SKW5472,1,CRJ2,2000,SPI,Green,NO,Springfield,Illinois
30-Jan-12,023,UCM474,1,UNKN,3100,MKC,Green,NO,Kansas City,Missouri
30-Jan-12,0135,AWI3860,1,CRJ2,4000,LGA,Green,NO,New York,New York
30-Jan-12,0237,DAL686,1,MD88,7000,ATL,Green,NO,Atlanta,Georgia
30-Jan-12,0514,N728M,1,GLF4,3900,LAS,Green,NO,Las Vegas,Nevada
30-Jan-12,0520,N623MS,1,GLF3,3900,LAS,Green,NO,Las Vegas,Nevada
30-Jan-12,0530,QXE617,1,DH8D,2000,SJC,Green,NO,San Jose,California
30-Jan-12,0530,SHERIFF1,1,DH8D,2000,SJC,Green,NO,San Jose,California
30-Jan-12,0736,USL559,1,A320,9000,SJC,Green,NO,San Jose,California
31-Jan-12,0025,SWA3745,1,B737,1500,BNA,Green,NO,Nashville,Tennessee
31-Jan-12,0234,SKW4557,1,CRJ2,16000,GRB,Green,NO,Green Bay,Wisconsin
31-Jan-12,0332,UAL1143,1,B738,9000,ORD,Green,NO,Chicago,Illinois
31-Jan-12,0418,ASQ5959,1,E145,2500,BNA,Green,NO,Nashville,Tennessee
31-Jan-12,0548,ASH2834,1,CRJ9,700,PHX,Green,NO,Phoenix,Arizona
31-Jan-12,2245,CTA307,1,C208,4500,PHX,Green,NO,Phoenix,Arizona
1-Feb-12,0030,CTL304,1,AC50,2000,MGY,Green,NO,Dayton,Ohio
1-Feb-12,0415,N484DA,1,SR20,2200,MCO,Green,NO,Orlando,Florida
